City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
175,Andros Town,BS,78.76,clear sky,24.7,-77.7667,Hanks place
179,Cabo San Lucas,MX,88.9,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
180,Mahajanga,MG,76.01,broken clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
181,Odienne,CI,75.69,overcast clouds,9.51,-7.5692,Oustaz Vame DIAKITE
184,Kavaratti,IN,84.27,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
185,Sao Miguel Do Araguaia,BR,76.24,clear sky,-13.275,-50.1628,Hotel Executivo Palace
187,Atoka,US,76.69,overcast clouds,34.4001,-96.0169,
194,San Policarpo,PH,81.43,overcast clouds,12.1791,125.5072,Agapita M. Nicart
199,Qiongshan,CN,76.98,scattered clouds,20.0058,110.3542,Sun City Restaurant
201,North Platte,US,82.29,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
204,Fomboni,KM,81.82,broken clouds,-12.28,43.7425,Auberge les abou
207,Lompoc,US,73.56,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
208,Asheboro,US,73.02,scattered clouds,35.7079,-79.8136,Hampton Inn Asheboro
209,Trairi,BR,76.84,scattered clouds,-3.2778,-39.2689,janelas do mar
211,Porto Novo,BJ,80.42,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
213,Lekoni,GA,73.44,moderate rain,-1.5843,14.2591,Rendez-vous Des ChasseursD
215,Luanda,AO,76.28,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
217,Poum,NC,73.47,overcast clouds,-20.2333,164.0167,
219,Dingle,PH,79.59,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
222,Pangkalanbuun,ID,75.18,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
223,Pindiga,NG,83.98,broken clouds,9.9833,10.9333,Accommodation Center
